epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.8429,0.74453,1.07097,1.00667,0.00851,0.875,0.6957,0.25911,1.82637,2.66871,2.15749,0.000614115,0.000614115,0.000614115
43,33.617,0.8244,1.11428,1.00071,0.01434,0.875,0.68766,0.29389,1.80231,2.64475,2.07956,0.00062736,0.00062736,0.00062736
44,34.329,0.91444,1.17822,1.05153,0.81143,0.5,0.7082,0.31477,1.88127,2.70709,1.9785,0.000640523,0.000640523,0.000640523
45,35.0381,0.77505,1.08057,1.0837,0.78982,0.5,0.72571,0.23986,1.93284,2.60655,2.12303,0.000653604,0.000653604,0.000653604
46,35.7634,0.65161,0.89225,0.96624,0.18368,0.875,0.72171,0.25056,1.9415,2.52651,2.06359,0.000666602,0.000666602,0.000666602
47,36.5063,0.73876,0.88547,0.97287,0.27019,0.625,0.45611,0.10603,2.19667,2.61398,2.24335,0.000679518,0.000679518,0.000679518
48,37.2239,0.80544,1.11627,1.02676,0.15098,0.625,0.50908,0.11959,2.34867,2.59349,2.27839,0.000692351,0.000692351,0.000692351
49,37.952,0.86058,1.08551,1.05892,0.00673,0.75,0.20063,0.09398,2.63617,2.57871,2.46277,0.000705101,0.000705101,0.000705101
50,38.66,0.72838,1.00221,0.97376,0.00854,0.875,0.22482,0.1015,2.53809,2.63218,2.37802,0.000717769,0.000717769,0.000717769
51,39.4055,0.97125,1.2027,1.12521,0.00854,0.875,0.22482,0.1015,2.53809,2.63218,2.37802,0.000730354,0.000730354,0.000730354
52,40.1106,1.00064,1.14132,1.06271,0.00676,0.75,0.27036,0.16144,2.23092,2.55261,2.14182,0.000742857,0.000742857,0.000742857
53,40.9054,0.7202,0.9195,1.01037,0.00676,0.75,0.27036,0.16144,2.23092,2.55261,2.14182,0.000755278,0.000755278,0.000755278
54,41.6311,0.84216,0.978,1.02514,0.80861,0.5,0.62821,0.3571,1.62951,2.33703,1.43648,0.000767616,0.000767616,0.000767616
55,42.3252,0.71505,0.99939,0.91275,0.80861,0.5,0.62821,0.3571,1.62951,2.33703,1.43648,0.000779871,0.000779871,0.000779871
56,43.0511,0.84364,1.01215,1.04684,1,0.4735,0.66212,0.46908,1.56314,2.21669,1.50212,0.000792044,0.000792044,0.000792044
57,43.7521,0.83271,1.27409,1.03499,1,0.4735,0.66212,0.46908,1.56314,2.21669,1.50212,0.000804134,0.000804134,0.000804134
58,44.5193,0.78209,0.9869,1.05442,0.82806,0.73097,0.74464,0.41304,1.29119,2.26656,1.4289,0.000816142,0.000816142,0.000816142
59,45.221,0.61285,0.80564,0.96935,0.82806,0.73097,0.74464,0.41304,1.29119,2.26656,1.4289,0.000828067,0.000828067,0.000828067
60,45.9605,0.7553,0.92399,0.99481,0.29881,0.36767,0.48092,0.26191,1.56663,2.29521,1.70432,0.00083991,0.00083991,0.00083991
61,46.7154,0.77547,0.82971,0.99494,0.29881,0.36767,0.48092,0.26191,1.56663,2.29521,1.70432,0.00085167,0.00085167,0.00085167
62,47.4764,0.56816,0.77287,0.98711,0.11051,0.375,0.21978,0.11884,1.74334,2.42507,1.72743,0.000863348,0.000863348,0.000863348
63,48.2311,1.00517,1.28346,1.23416,0.11051,0.375,0.21978,0.11884,1.74334,2.42507,1.72743,0.000874943,0.000874943,0.000874943
64,48.9906,1.0925,1.34062,1.13861,0.63137,0.125,0.26129,0.14381,1.47646,2.47021,1.75271,0.000886456,0.000886456,0.000886456
65,49.8876,0.82849,0.94429,0.96504,0.63137,0.125,0.26129,0.14381,1.47646,2.47021,1.75271,0.000897886,0.000897886,0.000897886
66,50.6308,0.7802,0.90767,1.03238,0.69859,0.24765,0.57025,0.17614,1.51019,2.48194,1.88801,0.000909234,0.000909234,0.000909234
67,51.3506,0.65462,0.8302,0.97873,0.69859,0.24765,0.57025,0.17614,1.51019,2.48194,1.88801,0.000920499,0.000920499,0.000920499
68,52.322,0.83408,1.06691,1.01688,0.70958,0.375,0.8102,0.29947,1.4058,2.47706,1.84501,0.000931682,0.000931682,0.000931682
69,53.0675,0.6338,0.88684,0.99636,0.70958,0.375,0.8102,0.29947,1.4058,2.47706,1.84501,0.000942782,0.000942782,0.000942782
70,53.7823,0.71075,0.84993,0.96152,0.7902,0.25,0.78173,0.34341,1.13633,2.54358,1.72644,0.000953799,0.000953799,0.000953799
71,54.5413,0.81544,0.90971,0.96281,0.7902,0.25,0.78173,0.34341,1.13633,2.54358,1.72644,0.000964735,0.000964735,0.000964735
72,55.2654,0.75631,0.98924,1.00904,0.856,0.31799,0.85264,0.52883,1.03224,2.2313,1.34218,0.000975587,0.000975587,0.000975587
73,55.9599,0.64465,0.82456,0.90637,0.856,0.31799,0.85264,0.52883,1.03224,2.2313,1.34218,0.000986357,0.000986357,0.000986357
74,56.7094,0.64859,1.14742,1.06457,0.60338,0.67999,0.71352,0.54133,1.11053,2.0768,1.60811,0.000997045,0.000997045,0.000997045
75,57.4044,0.79696,0.93902,1.05195,0.60338,0.67999,0.71352,0.54133,1.11053,2.0768,1.60811,0.00100765,0.00100765,0.00100765
76,58.1337,0.75364,0.93604,1.04653,0.87493,0.71718,0.82129,0.49827,1.35719,2.12348,2.02462,0.00101817,0.00101817,0.00101817
77,58.8729,0.79247,0.91775,0.91581,0.87493,0.71718,0.82129,0.49827,1.35719,2.12348,2.02462,0.00102861,0.00102861,0.00102861
78,59.6453,0.73976,0.87521,0.97885,1,0.69379,0.87556,0.41625,1.36792,2.18012,1.93998,0.00103897,0.00103897,0.00103897
79,60.3411,0.79078,0.99173,1.04201,1,0.69379,0.87556,0.41625,1.36792,2.18012,1.93998,0.00104924,0.00104924,0.00104924
80,61.0592,0.7098,0.86153,0.98462,0.70168,0.61437,0.8075,0.38145,1.40491,2.2438,1.9254,0.00105944,0.00105944,0.00105944
81,61.7595,0.78702,0.86801,1.03025,0.70168,0.61437,0.8075,0.38145,1.40491,2.2438,1.9254,0.00106955,0.00106955,0.00106955
82,62.4754,0.74448,0.79233,1.00176,0.85138,0.73787,0.945,0.43289,1.22666,2.10059,1.2854,0.00107957,0.00107957,0.00107957
83,63.175,0.6172,0.77674,0.95523,0.85138,0.73787,0.945,0.43289,1.22666,2.10059,1.2854,0.00108952,0.00108952,0.00108952
84,63.976,1.10283,1.11019,1.15407,0.69227,0.56411,0.67944,0.28258,1.4177,2.18729,1.58571,0.00109938,0.00109938,0.00109938
85,64.6827,0.71954,0.85119,1.00827,0.69227,0.56411,0.67944,0.28258,1.4177,2.18729,1.58571,0.00110916,0.00110916,0.00110916
86,65.4159,0.874,0.93284,1.01493,0.94483,0.61565,0.76847,0.30152,1.93986,2.15087,1.81184,0.00111886,0.00111886,0.00111886
87,66.1085,0.77084,0.84292,1.02189,0.94483,0.61565,0.76847,0.30152,1.93986,2.15087,1.81184,0.00112847,0.00112847,0.00112847
88,66.8376,0.59315,0.85304,0.98322,0.59167,0.65767,0.78667,0.30732,1.90862,1.95501,1.88435,0.00113801,0.00113801,0.00113801
89,67.5338,0.82637,0.9727,1.073,0.59167,0.65767,0.78667,0.30732,1.90862,1.95501,1.88435,0.00114746,0.00114746,0.00114746
90,68.2813,0.78028,0.90118,1.08577,0.81752,0.82535,0.88667,0.3783,1.90189,1.85355,1.98016,0.00115682,0.00115682,0.00115682
91,69.1287,0.59205,0.90036,0.96741,0.81752,0.82535,0.88667,0.3783,1.90189,1.85355,1.98016,0.00116611,0.00116611,0.00116611
92,69.8527,0.7023,0.83895,0.96104,0.78873,0.83179,0.84917,0.34607,1.72549,1.96128,1.84267,0.00117531,0.00117531,0.00117531
93,70.5523,0.72446,0.87485,0.96609,0.78873,0.83179,0.84917,0.34607,1.72549,1.96128,1.84267,0.00118443,0.00118443,0.00118443
94,71.2719,0.76478,0.8292,1.01196,0.80354,0.87122,0.81298,0.28252,1.57486,2.1032,1.8102,0.00119347,0.00119347,0.00119347
95,71.9596,0.71881,0.81058,0.97253,0.80354,0.87122,0.81298,0.28252,1.57486,2.1032,1.8102,0.00120242,0.00120242,0.00120242
96,72.6775,0.636,0.72004,0.97482,0.77949,0.5,0.63907,0.24377,1.8623,2.01929,2.19329,0.00121129,0.00121129,0.00121129
97,73.4151,0.74971,0.90654,0.89586,0.77949,0.5,0.63907,0.24377,1.8623,2.01929,2.19329,0.00122008,0.00122008,0.00122008
98,74.2899,0.75574,0.86863,0.97498,0.62191,0.5,0.67862,0.42704,1.78074,2.0077,2.08785,0.00122879,0.00122879,0.00122879
99,74.9931,0.46832,0.6452,0.93578,0.62191,0.5,0.67862,0.42704,1.78074,2.0077,2.08785,0.00123742,0.00123742,0.00123742
100,75.7222,0.69231,0.94138,1.0237,0.72927,0.83194,0.87206,0.39848,1.79511,1.83644,1.99809,0.00124596,0.00124596,0.00124596
